"","Country","Continent","Rank","Growth.Rate","Density..per.km..","child_mort","exports","health","imports","income","inflation","life_expec","total_fer","gdpp"
"1","Afghanistan","Asia",36,1.0257,63.0587,90.2,10,7.58,44.9,1610,9.44,56.2,5.82,553
"2","Albania","Europe",138,0.9957,98.8702,16.6,28,6.55,48.6,9930,4.49,76.3,1.65,4090
"3","Algeria","Africa",34,1.0164,18.8531,27.3,38.4,4.17,31.4,12900,16.1,76.5,2.89,4460
"4","Angola","Africa",42,1.0315,28.5466,119,62.3,2.85,42.9,5900,22.4,60.1,6.16,3530
"5","Antigua and Barbuda","North America",201,1.0058,212.1335,10.3,45.5,6.03,58.9,19100,1.44,76.8,2.13,12200
"6","Argentina","South America",33,1.0052,16.3683,14.5,18.9,8.1,16,18700,20.9,75.8,2.37,10300
"7","Armenia","Asia",140,0.9962,93.4831,18.1,20.8,4.4,45.3,6700,7.77,73.3,1.69,3220
"8","Australia","Oceania",55,1.0099,3.4032,4.8,19.8,8.73,20.9,41400,1.16,82,1.93,51900
"9","Austria","Europe",99,1.002,106.5877,4.3,51.3,11,47.8,43200,0.873,80.5,1.44,46900
"10","Azerbaijan","Asia",91,1.0044,119.6082,39.2,54.3,5.88,20.7,16000,13.8,69.1,1.92,5840
"11","Bahamas","North America",176,1.0051,29.4043,13.8,35,7.89,43.7,22900,-0.393,73.8,1.86,28000
"12","Bahrain","Asia",154,1.0061,1924.4876,8.6,69.5,4.97,50.9,41100,7.44,76,2.16,20700
"13","Bangladesh","Asia",8,1.0108,1160.035,49.4,16,3.52,21.8,2440,7.14,70.4,2.33,758
"14","Barbados","North America",186,1.0015,654.9651,14.2,39.5,7.97,48.7,15300,0.321,76.7,1.78,16000
"15","Belarus","Europe",96,0.9955,45.9295,5.5,51.4,5.61,64.5,16200,15.1,70.4,1.49,6030
"16","Belgium","Europe",81,1.0038,381.8111,4.5,76.4,10.7,74.7,41100,1.88,80,1.86,44400
"17","Belize","North America",177,1.0131,17.6466,18.8,58.2,5.2,57.5,7880,1.14,71.4,2.71,4340
"18","Benin","Africa",77,1.0274,118.5635,111,23.8,4.1,37.2,1820,0.885,61.8,5.36,758
"19","Bhutan","Asia",165,1.0064,20.3796,42.7,42.5,5.2,70.7,6420,5.99,72.1,2.38,2180
"20","Bolivia","South America",80,1.012,11.1272,46.6,41.2,4.84,34.3,5410,8.78,71.6,3.2,1980
"21","Bosnia and Herzegovina","Europe",137,0.9886,63.1437,6.9,29.7,11.1,51.3,9720,1.4,76.8,1.31,4610
"22","Botswana","Africa",144,1.0162,4.5194,52.5,43.6,8.3,51.3,13300,8.92,57.1,2.88,6350
"23","Brazil","South America",7,1.0046,25.2841,19.8,10.7,9.01,11.8,14500,8.41,74.2,1.8,11200
"24","Brunei","Asia",175,1.0081,77.8841,10.5,67.4,2.84,28,80600,16.7,77.1,1.84,35300
"25","Bulgaria","Europe",108,0.9849,61.1654,10.8,50.2,6.87,53,15300,1.11,73.9,1.57,6840
"26","Burkina Faso","Africa",58,1.0259,83.0641,116,19.2,6.74,29.6,1430,6.81,57.9,5.87,575
"27","Burundi","Africa",78,1.027,463.0874,93.6,8.92,11.6,39.2,764,12.3,57.7,6.26,231
"28","Cambodia","Asia",73,1.0108,92.6221,44.4,54.1,5.68,59.5,2520,3.12,66.1,2.88,786
"29","Cameroon","Africa",53,1.0263,58.7128,108,22.2,5.13,27,2660,1.91,57.3,5.11,1310
"30","Canada","North America",39,1.0078,3.8513,5.6,29.1,11.3,31,40700,2.87,81.3,1.63,47400
"31","Cape Verde","Africa",171,1.0089,147.0739,26.5,32.7,4.09,61.8,5830,0.505,72.5,2.67,3310
"32","Central African Republic","Africa",117,1.0224,8.9555,149,11.8,3.98,26.5,888,2.01,47.5,5.21,446
"33","Chad","Africa",69,1.0316,13.8032,150,36.8,4.53,43.5,1930,6.39,56.5,6.59,897
"34","Chile","South America",65,1.0057,25.9274,8.7,37.7,7.96,31.3,19400,8.96,79.1,1.88,12900
"35","China","Asia",1,1,146.8933,15.7,26.3,5.07,22.6,9530,6.94,74.6,1.59,4560
"36","Colombia","South America",28,1.0069,45.4339,18.6,15.9,7.59,17.8,10900,3.86,76.4,2.01,6250
"37","Comoros","Africa",163,1.0184,449.3953,88.2,16.5,4.51,51.7,1410,3.87,65.9,4.75,769
"38","Costa Rica","North America",124,1.0052,101.3861,10.2,33.2,10.9,35,13000,6.57,80.4,1.92,8200
"39","Croatia","Europe",130,0.9927,71.2153,5.5,37.6,7.76,38.1,20100,0.821,76.3,1.55,13500
"40","Cyprus","Europe",158,1.0059,135.2814,3.6,50.2,5.97,57.5,33900,2.01,79.9,1.42,30800
"41","Czech Republic","Europe",88,0.9984,133.0627,3.4,66,7.88,62.9,28300,-1.43,77.5,1.51,19800
"42","Denmark","Europe",115,1.0048,136.4984,4.1,50.5,11.4,43.6,44000,3.22,79.5,1.87,58000
"43","Dominican Republic","North America",84,1.01,230.7087,34.4,22.7,6.22,33.3,11100,5.44,74.6,2.6,5450
"44","Ecuador","South America",67,1.0114,65.0229,25.1,27.9,8.06,32.4,9350,7.47,76.7,2.66,4660
"45","Egypt","Africa",14,1.0158,110.7188,29.1,21.3,4.66,26.6,9860,10.1,70.5,3.19,2600
"46","El Salvador","North America",112,1.0035,301.145,19.2,26.9,6.91,46.6,7300,2.65,74.1,2.27,2990
"47","Equatorial Guinea","Africa",152,1.0247,59.7094,111,85.8,4.48,58.9,33700,24.9,60.9,5.21,17100
"48","Eritrea","Africa",132,1.0176,31.3268,55.2,4.79,2.66,23.3,1420,11.6,61.7,4.61,482
"49","Estonia","Europe",156,0.998,29.3201,4.5,75.1,6.03,68.7,22700,1.74,76,1.72,14600
"50","Fiji","Oceania",162,1.0056,50.8847,24.1,57.8,4.86,63.9,7350,4.23,65.3,2.67,3650
"51","Finland","Europe",118,1.0009,16.3722,3,38.7,8.95,37.4,39800,0.351,80,1.87,46200
"52","France","Europe",23,1.0015,117.1419,4.2,26.8,11.9,28.1,36900,1.05,81.4,2.03,40600
"53","Gabon","Africa",146,1.0204,8.9252,63.7,57.7,3.5,18.9,15400,16.6,62.9,4.08,8750
"54","Gambia","Africa",142,1.025,253.1567,80.3,23.8,5.69,42.7,1660,4.3,65.5,5.71,562
"55","Georgia","Asia",131,0.9964,53.7214,16.5,35,10.1,52.8,6730,8.55,72.8,1.92,2960
"56","Germany","Europe",19,0.9995,233.4544,4.2,42.3,11.6,37.1,40400,0.758,80.1,1.39,41800
"57","Ghana","Africa",47,1.0196,140.3406,74.7,29.5,5.22,45.9,3060,16.6,62.2,4.27,1310
"58","Greece","Europe",90,0.9942,78.68,3.9,22.1,10.3,30.7,28700,0.673,80.4,1.48,26900
"59","Grenada","North America",193,1.0066,364.6453,14.6,23.8,5.86,49.2,11200,0.48,71.3,2.24,7370
"60","Guatemala","North America",68,1.0134,163.8725,35.4,25.8,6.85,36.3,6710,5.14,71.3,3.38,2830
"61","Guinea","Africa",75,1.0242,56.3716,109,30.3,4.93,43.2,1190,16.1,58,5.34,648
"62","Guinea-Bissau","Africa",149,1.0218,58.2856,114,14.9,8.5,35.2,1390,2.97,55.6,5.05,547
"63","Guyana","South America",164,1.0052,3.7621,37.6,51.4,5.38,79.1,5840,5.73,65.5,2.65,3040
"64","Haiti","North America",82,1.012,417.4773,208,15.3,6.91,64.7,1500,5.45,32.1,3.33,662
"65","Hungary","Europe",94,1.0265,107.1431,6,81.8,7.33,76.5,22300,2.33,74.5,1.25,13100
"66","Iceland","Europe",179,1.0069,3.6204,2.6,53.4,9.4,43.3,38800,5.47,82,2.2,41900
"67","India","Asia",2,1.0068,431.0675,58.8,22.6,4.05,27.1,4410,8.98,66.2,2.6,1350
"68","Indonesia","Asia",4,1.0064,144.6529,33.3,24.3,2.61,22.4,8430,15.3,69.9,2.48,3110
"69","Iran","Asia",17,1.0071,53.7258,19.3,24.4,5.6,19.4,17400,15.9,74.5,1.76,6530
"70","Iraq","Asia",35,1.0221,101.5158,36.9,39.4,8.41,34.1,12700,16.6,67.2,4.56,4500
"71","Ireland","Europe",125,1.0073,71.4799,4.2,103,9.19,86.5,45700,-3.22,80.4,2.05,48700
"72","Israel","Asia",98,1.0155,435.1617,4.6,35,7.63,32.9,29600,1.77,81.4,3.03,30600
"73","Italy","Europe",25,0.9966,195.9191,4,25.2,9.53,27.2,36200,0.319,81.7,1.46,35800
"74","Jamaica","North America",139,0.9999,257.2447,18.1,31.3,4.81,49.6,8000,9.81,74.7,2.17,4680
"75","Japan","Asia",11,0.9947,327.9753,3.2,15,9.49,13.6,35800,-1.9,82.8,1.39,44500
"76","Jordan","Asia",83,1.0123,126.3221,21.1,48.3,8.04,69,9470,8.43,75.8,3.66,3680
"77","Kazakhstan","Asia",66,1.0105,7.1188,21.5,44.2,4.29,29.9,20100,19.5,68.4,2.6,9070
"78","Kenya","Africa",27,1.0193,93.0919,62.2,20.7,4.75,33.6,2480,2.09,62.8,4.37,967
"79","Kiribati","Oceania",192,1.0183,161.815,62.7,13.3,11.3,79.9,1730,1.52,60.7,3.84,1490
"80","Kuwait","Asia",129,1.0044,239.5821,10.8,66.7,2.63,30.4,75200,11.2,78.2,2.21,38500
"81","Latvia","Europe",151,0.9876,28.666,7.8,53.7,6.68,55.1,18300,-0.812,73.1,1.36,11300
"82","Lebanon","Asia",119,0.9816,525.2334,10.3,35.8,7.03,60.2,16300,0.238,79.8,1.61,8860
"83","Lesotho","Africa",147,1.0107,75.962,99.7,39.4,11.1,101,2380,4.15,46.5,3.3,1170
"84","Liberia","Africa",121,1.021,47.6136,89.3,19.1,11.8,92.6,700,5.47,60.8,5.02,327
"85","Libya","Africa",107,1.0114,3.8717,16.6,65.6,3.88,42.1,29600,14.2,76.1,2.41,12100
"86","Lithuania","Europe",141,0.9869,42.1142,6.1,65.3,7.04,67.2,21100,2.38,73.2,1.5,12000
"87","Luxembourg","Europe",168,1.0129,250.425,2.8,175,7.77,142,91700,3.62,81.3,1.63,105000
"88","Madagascar","Africa",50,1.0241,50.4423,62.2,25,3.77,43,1390,8.79,60.8,4.6,413
"89","Malawi","Africa",62,1.0259,172.22,90.5,22.8,6.59,34.9,1030,12.1,53.1,5.31,459
"90","Malaysia","Asia",45,1.0109,102.5934,7.9,86.9,4.39,71,21100,7.27,74.5,2.15,9070
"91","Maldives","Asia",174,1.0045,1745.9567,13.2,77.6,6.33,65.4,10500,2.88,77.9,2.23,7100
"92","Mali","Africa",59,1.0314,18.2178,137,22.8,4.98,35.1,1870,4.37,59.5,6.55,708
"93","Malta","Europe",173,1.0124,1687.6139,6.8,153,8.65,154,28300,3.83,80.3,1.36,21100
"94","Mauritania","Africa",126,1.0263,4.5951,97.4,50.7,4.41,61.2,3320,18.9,68.2,4.98,1200
"95","Mauritius","Africa",157,1.0004,636.9946,15,51.2,6,62.2,15900,1.13,73.4,1.57,8000
"96","Moldova","Europe",135,1.0691,96.7026,17.2,39.2,11.7,78.5,3910,11.1,69.7,1.27,1630
"97","Mongolia","Asia",134,1.0151,2.1727,26.1,46.7,5.44,56.7,7710,39.2,66.2,2.64,2650
"98","Montenegro","Europe",169,0.9988,45.4012,6.8,37,9.11,62.7,14000,1.6,76.4,1.77,6680
"99","Morocco","Africa",40,1.0103,83.883,33.5,32.2,5.2,43,6440,0.976,73.5,2.58,2830
"100","Mozambique","Africa",48,1.0278,41.1302,101,31.5,5.21,46.2,918,7.64,54.5,5.56,419
"101","Myanmar","Asia",26,1.0071,80.0784,64.4,0.109,1.97,0.0659,3720,7.04,66.8,2.41,988
"102","Namibia","Africa",145,1.0146,3.1092,56,47.8,6.78,60.7,8460,3.56,58.6,3.6,5190
"103","Nepal","Asia",49,1.0171,207.5511,47,9.58,5.25,36.4,1990,15.1,68.3,2.61,592
"104","Netherlands","Europe",71,1.0036,419.6897,4.5,72,11.9,63.6,45500,0.848,80.7,1.79,50300
"105","New Zealand","Oceania",123,1.0108,19.1716,6.2,30.3,10.1,28,32300,3.73,80.9,2.17,33700
"106","Niger","Africa",54,1.0378,20.6851,123,22.2,5.16,49.1,814,2.55,58.8,7.49,348
"107","Nigeria","Africa",6,1.0241,236.5759,130,25.3,5.07,17.4,5150,104,60.5,5.84,2330
"108","Norway","Europe",120,1.0058,16.7828,3.2,39.7,9.48,28.5,62300,5.95,81,1.95,87800
"109","Oman","Asia",127,1.0123,14.7861,11.7,65.7,2.77,41.2,45300,15.6,76.1,2.9,19300
"110","Pakistan","Asia",5,1.0191,267.4018,92.1,13.5,2.2,19.4,4280,10.9,65.3,3.85,1040
"111","Panama","North America",128,1.0132,58.4561,19.7,70,8.1,78.2,15400,2.59,77.8,2.62,8080
"112","Paraguay","South America",109,1.0115,16.6705,24.1,55.1,5.87,51.5,7290,6.1,74.1,2.73,3230
"113","Peru","South America",44,1.0099,26.4933,20.3,27.8,5.08,23.8,9960,5.71,77.9,2.54,5020
"114","Philippines","Asia",13,1.0147,337.5434,31.9,34.8,3.61,36.6,5600,4.22,69,3.16,2130
"115","Poland","Europe",37,1.0404,127.4698,6,40.1,7.46,42.1,21800,1.66,76.3,1.41,12600
"116","Portugal","Europe",92,0.9981,111.5307,3.9,29.9,11,37.4,27200,0.643,79.8,1.39,22500
"117","Qatar","Asia",143,1.0026,232.6189,9,62.3,1.81,23.8,125000,6.98,79.5,2.07,70300
"118","Romania","Europe",64,1.0171,82.4665,11.5,32.6,5.58,38.8,17800,3.53,73.7,1.59,8230
"119","Russia","Europe",9,0.9973,8.4636,10,29.2,5.08,21.1,23100,14.2,69.2,1.57,10700
"120","Rwanda","Africa",76,1.0234,523.0731,63.6,12,10.5,30,1350,2.61,64.6,4.51,563
"121","Samoa","Oceania",188,1.0165,78.2484,18.9,29.2,6.47,53.1,5400,1.72,71.5,4.34,3450
"122","Saudi Arabia","Asia",41,1.0128,16.9368,15.7,49.6,4.29,33,45400,17.2,75.1,2.96,19300
"123","Senegal","Africa",72,1.0261,88.025,66.8,24.9,5.66,40.3,2180,1.85,64,5.06,1000
"124","Serbia","Europe",105,0.9897,81.7257,7.6,32.9,10.4,47.9,12700,5.88,74.7,1.4,5410
